Date,City,Wind Speed,Relative Humidity,Dewpoint,Precipitation,Sea level pressure,Evapotranspiration
2019-09-18,Colombo,11.806757,75.918846,11.789483,5.620116,1014.6167,2.500414
2019-09-19,Colombo,10.359164,77.964485,12.00216,3.9794652,1020.4624,1.9328109
2019-09-20,Colombo,12.12606,72.01013,10.683275,0.0,1022.50806,2.3709674
2019-09-21,Colombo,6.7656965,68.05577,9.748344,0.0,1019.75354,2.6452897
2019-09-22,Colombo,5.6885414,93.10141,16.643576,5.9928455,1012.89923,2.0538795
2019-09-23,Colombo,9.584527,91.14706,17.350973,2.8138642,1012.44476,1.7737594
2019-09-24,Colombo,8.86088,89.1927,15.035775,2.1395404,1011.89044,1.5829725
2019-09-25,Colombo,9.555082,98.23834,14.1901,11.782353,996.4361,1.7580299
2019-09-26,Colombo,14.134103,76.28398,9.814964,1.1389883,1000.18164,1.6715139
2019-09-27,Colombo,22.933115,69.32963,6.901788,0.48535946,1002.52734,0.9852433
2019-09-28,Colombo,24.307707,76.37527,7.7227316,0.080432676,1012.37286,1.182285
2019-09-29,Colombo,16.884377,83.420906,8.032832,0.15994917,1014.31854,1.4089997
2019-09-30,Colombo,9.83455,84.46655,6.8139215,0.23855689,1013.26416,1.5010195
2019-10-01,Colombo,7.364988,84.51219,5.9207635,0.23719727,1017.2097,1.4602389
2019-10-02,Colombo,9.805522,87.55784,6.133213,0.15722997,1017.75543,1.452975
2019-10-03,Colombo,7.3433714,97.60348,7.9829955,4.924496,1016.90106,0.8771215
2019-10-04,Colombo,9.078553,86.64912,5.672676,0.85492676,1019.7466,1.2839494
2019-10-05,Colombo,8.36807,92.694756,8.425038,0.23183094,1025.6921,1.4999471
2019-10-06,Colombo,10.096858,84.7404,7.824951,0.15367137,1028.4377,1.2333727
2019-10-07,Colombo,5.9103713,85.78604,8.418003,0.07639671,1031.8835,1.7477977
2019-10-08,Colombo,6.24913,82.83168,8.933811,0.0,1038.2291,1.7170137
2019-10-09,Colombo,6.933644,67.87733,6.984772,0.07552568,1033.9746,1.8589303
2019-10-10,Colombo,12.462983,59.922966,5.403121,0.0,1029.7203,1.7099442
2019-10-11,Colombo,8.988436,73.96861,8.573808,0.2239912,1034.366,1.1420908
