HCHO Reading,Location,Current Date,Next Date
9.165608034246397e-05,"Deniyaya, Matara",2019-09-20,2019-09-21
2.78876797254711e-05,"Deniyaya, Matara",2019-09-21,2019-09-22
9.165608034246397e-05,"Deniyaya, Matara",2019-09-22,2019-09-23
9.165608034246397e-05,"Deniyaya, Matara",2019-09-23,2019-09-24
9.165608034246397e-05,"Deniyaya, Matara",2019-09-24,2019-09-25
9.165608034246397e-05,"Deniyaya, Matara",2019-09-25,2019-09-26
9.165608034246397e-05,"Deniyaya, Matara",2019-09-26,2019-09-27
9.165608034246397e-05,"Deniyaya, Matara",2019-09-27,2019-09-28
9.165608034246397e-05,"Deniyaya, Matara",2019-09-28,2019-09-29
8.320224946993188e-05,"Deniyaya, Matara",2019-09-29,2019-09-30
1.9647603158705266e-05,"Deniyaya, Matara",2019-09-30,2019-10-01
0.00011783649916807612,"Deniyaya, Matara",2019-10-01,2019-10-02
9.165608034246397e-05,"Deniyaya, Matara",2019-10-02,2019-10-03
9.165608034246397e-05,"Deniyaya, Matara",2019-10-03,2019-10-04
9.165608034246397e-05,"Deniyaya, Matara",2019-10-05,2019-10-06
4.612769316736376e-06,"Deniyaya, Matara",2019-10-06,2019-10-07
9.165608034246397e-05,"Deniyaya, Matara",2019-10-08,2019-10-09
9.165608034246397e-05,"Deniyaya, Matara",2019-10-09,2019-10-10
9.165608034246397e-05,"Deniyaya, Matara",2019-10-10,2019-10-11
9.165608034246397e-05,"Deniyaya, Matara",2019-10-11,2019-10-12
9.165608034246397e-05,"Deniyaya, Matara",2019-10-12,2019-10-13
7.59858494096762e-05,"Deniyaya, Matara",2019-10-13,2019-10-14
1.83682831601389e-05,"Deniyaya, Matara",2019-10-14,2019-10-15
9.165608034246397e-05,"Deniyaya, Matara",2019-10-15,2019-10-16
9.165608034246397e-05,"Deniyaya, Matara",2019-10-16,2019-10-17
0.00023170536024083008,"Deniyaya, Matara",2019-10-17,2019-10-18
9.165608034246397e-05,"Deniyaya, Matara",2019-10-18,2019-10-19
9.165608034246397e-05,"Deniyaya, Matara",2019-10-19,2019-10-20
9.165608034246397e-05,"Deniyaya, Matara",2019-10-20,2019-10-21
9.165608034246397e-05,"Deniyaya, Matara",2019-10-21,2019-10-22
9.165608034246397e-05,"Deniyaya, Matara",2019-10-22,2019-10-23
9.165608034246397e-05,"Deniyaya, Matara",2019-10-23,2019-10-24
9.165608034246397e-05,"Deniyaya, Matara",2019-10-24,2019-10-25
9.165608034246397e-05,"Deniyaya, Matara",2019-10-25,2019-10-26
9.165608034246397e-05,"Deniyaya, Matara",2019-10-26,2019-10-27
9.165608034246397e-05,"Deniyaya, Matara",2019-10-27,2019-10-28
9.165608034246397e-05,"Deniyaya, Matara",2019-10-28,2019-10-29
9.165608034246397e-05,"Deniyaya, Matara",2019-10-29,2019-10-30
9.165608034246397e-05,"Deniyaya, Matara",2019-10-30,2019-10-31
0.00022909184664884622,"Deniyaya, Matara",2019-10-31,2019-11-01
9.165608034246397e-05,"Deniyaya, Matara",2019-11-01,2019-11-02
